SkillName	SkillID
阿育娅_钻心自身范围aoe母技能	33499
阿育娅_速射区域aoe子技能	33502
刀马_特殊强化_环首刀前方aoe	33504
刀马_特殊强化_切武器嘲讽附近	33505
竖_刀术一段扇形aoe	33506
竖_刀术二段方形aoe	33507
刀马_切换为大刀AOE判定	33508
刀马_切换为环首刀冲击波	33509
竖_踏步冲刺范围目标定身	33512
竖_特殊强化_刀术三段方形aoe	33513
竖_特殊强化_踏步冲刺结束aoe牵引	33514
阿育娅_大招嘲讽	33519
阿育娅_特殊强化_钻心充能	33521
阿育娅_特殊强化_荆棘aoe	33522
阿育娅_特殊强化_速射二段冲刺结束aoe	33524
刀马_头锥大刀刀劈_第二第三段	33544
刀马_特殊强化_普通攻击双倍伤害	33567
刀马_特殊强化_普通攻击双倍伤害_头锥大刀	33568
刀马_特殊强化_2技能头锥大刀自身6尺范围目标眩晕	33569
骁骑弓手_射箭普攻	33572
刀马_特殊强化_斧流星放飞斧	33578
刀马_特殊强化_斧流星额外拉两个目标AOE	33590
刀马_特殊强化_斧流星飞斧aoe	33591
竖_刀舞aoe子技能的子技能	33603
燕子娘_特殊强化_大招双倍效果	33646
阿育娅_特殊强化_普攻20尺内额外射箭	33683
流派_割伤_割伤亡语aoe	33838
普通心魔_抽取降低攻击	34083
普通心魔_矩形重击	34084
济天下心魔_威压冲锋母技能	34086
归隐心魔_附近心魔判定	34087
归隐心魔_剧痛承伤子技能	34090
CP心魔_双生链接判定aoe	34091
CP心魔_烈焰轰炸子技能	34094
CP心魔_穿刺矩形子技能	34096
济天下心魔_威压冲锋子技能	34099
归隐心魔_虚弱减速aoe	34100
归隐心魔_虚弱扇形aoe	34101
归隐心魔_剧痛承伤判断人数技能	34103
归隐心魔_剧痛承伤实际伤害	34145
归隐心魔_虚弱扇形aoe实际伤害	34155
普通心魔_抽取降低攻击实际	34156
普通心魔_矩形重击实际	34157
姬如雪_矩形AOE吟唱	34240
龙门飞剑武器_输出_被动_伤害_外功	26021
龙门飞剑武器_输出_被动_子弹	26091
龙门飞剑武器_输出_被动_伤害_混元	26109
龙门飞剑武器_输出_被动_伤害_阴性	26110
龙门飞剑武器_输出_被动_伤害_阳性	26111
龙门飞剑武器_输出_被动_伤害_毒性	26112
龙门飞剑武器_输出_被动_自适应伤害	29919
刀啸风吟	16027
刀啸风吟5尺伤害	16610
刀啸风吟10尺伤害	16611
刀啸风吟15尺伤害	16612
刀啸风吟20尺伤害	16613
刀啸风吟25尺伤害	16614
刀啸风吟5尺伤害加强版	16913
刀啸风吟10尺伤害加强版	16914
刀啸风吟15尺伤害加强版	16915
刀啸风吟20尺伤害加强版	16916
刀啸风吟25尺伤害加强版	16917
刀啸风吟30尺伤害加强版	16918
暗度·流火连星	25329
斗	24372
兵正常伤害通道表现	24409
兵_水坎通道表现	24410
临伤害子技能	24558
临伤害子技能_水坎	24675
临伤害子技能_山艮	24676
临伤害子技能_火离	24677
临无卦象延迟表现	24720
临水卦象延迟表现	24721
临山卦象延迟表现	24722
临火卦象延迟表现	24723
兵_山艮卦象通道表现	24744
兵_火离卦象通道表现	24745
斗_水坎	24816
斗_山艮	24817
斗_火离	24818
斗_水坎卦象实际伤害	24822
斗_山艮卦象实际伤害	24823
临命中目标溅射伤害	25242
增卜焚如单体火离效果	25678
山卦_临溅射伤害提高	25887
商陆其根伤害子技能	27552
钩吻断肠伤害子技能	27555
奚毒射罔伤害子技能	27557
青圃着尘子弹技能	29305
助战燕子娘_急救治疗子技能	33883
助战燕子娘_急救伤害子技能	33884
助战刀马_环首刀裁血	33900
助战刀马_头锥大刀裁血	33901
助战刀马_列肃斩	33904
助战刀马_虎出渊冲击波	33907
助战燕子娘_急救治疗子技能对npc	33912
遏云势	32465
